0002_AH03_MWH , (DIFFENBAUGH     ) ,  -N-       NONE ,250000,250000,250000,250000,250000,250000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,  ,  ,
0002_AH04_MWH , (DIFFENBAUGH     ) ,  -N-       NONE ,59000,59000,59000,59000,59000,59000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,0, ,
0002_CP1_MWH , (DIFFENBAUGH     ) ,  -N-       NONE ,1000,1000,1000,1000,1000,1000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 3115 ,0.00%,  ,  ,
0002_CP2_MWH , (DIFFENBAUGH     ) ,  -N-       NONE ,11000,11000,11000,11000,11000,11000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 3115 ,0.00%,  ,  ,
0002_CP1_KWH , (DIFFENBAUGH     ) ,  -N-       NONE ,718,718,876,1006,718,1006,14,288,617, 2232 / 3115 ,71.65%,  ,  ,
0002_CP2_KWH , (DIFFENBAUGH     ) ,  -N-       NONE ,6443,6373,6487,6487,6373,6487,14,114,244, 883 / 3115 ,28.35%,3115, ,
0003_AH01_KWH , (WILLIAMS        ) ,  -N-       NONE ,156,148,202,230,148,230,14,82,175, 635 / 635 ,100.00%,635, ,
0003_CP1_KWH , (WILLIAMS        ) ,  -N-       NONE ,480,424,756,1180,424,1180,14,756,1620, 5859 / 5859 ,100.00%,5859, ,
0005_CP1_MWH , (EPPES           ) ,  -N-       NONE ,129000,129000,129000,129000,129000,129000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,0, ,
0005_HP1_MWH , (EPPES           ) ,  -N-       NONE ,15000,15000,15000,15000,15000,15000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,0, ,
0005_OA01_MWH , (EPPES           ) ,  -N-       NONE ,39000,39000,39000,39000,39000,39000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,0, ,
0007_AH01_MWH , (FINE ARTS       ) ,  -N-       NONE ,431000,431000,433000,435000,431000,435000,14,4000,8571, 31000 / 93000 ,33.33%,  ,  ,
0007_AH02_MWH , (FINE ARTS       ) ,  -N-       NONE ,593000,593000,595000,596000,593000,596000,14,3000,6428, 23250 / 93000 ,25.00%,  ,  ,
0007_AH03_MWH , (FINE ARTS       ) ,  -N-       NONE ,13000,13000,13000,13000,13000,13000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 93000 ,0.00%,  ,  ,
0007_AH05A_MWH , (FINE ARTS       ) ,  -N-       NONE ,54000,54000,54000,56000,54000,56000,7,2000,8571, 15500 / 93000 ,16.67%,  ,  ,
0007_AH05B_MWH , (FINE ARTS       ) ,  -N-       NONE ,18000,18000,18000,18000,18000,18000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 93000 ,0.00%,  ,  ,
0007_AH06_MWH , (FINE ARTS       ) ,  -N-       NONE ,593000,593000,595000,596000,593000,596000,14,3000,6428, 23250 / 93000 ,25.00%,93000, ,
0007_CP1_MWH , (FINE ARTS       ) ,  -N-       NONE ,239000,237000,239000,241000,237000,241000,14,4000,8571, 31000 / 31000 ,100.00%,31000, ,
0007_HP1_mWH , (FINE ARTS       ) ,  -N-       NONE ,70000,70000,70000,70000,70000,70000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,0, ,
0009_AH01_MWH , (BIOMED          ) ,  -N-       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,  ,  ,
0009_AH06VFD1_MWH , (BIOMED          ) ,  -N-       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,  ,  ,
0009_AH06VFD2_MWH , (BIOMED          ) ,  -N-       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,  ,  ,
0009_AH07_VFD1_ MWH , (BIOMED          ) ,  -N-       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,  ,  ,
0009_AH07_VFD2_ MWH , (BIOMED          ) ,  *F*       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,  ,  ,
0009_AH09_VFD1_ MWH , (BIOMED          ) ,  *F*       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,  ,  ,
0009_AH09_VFD2_ MWH , (BIOMED          ) ,  *F*       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,0, ,
0009_HP1_MWH , (BIOMED          ) ,  -N-       NONE ,1162000,1162000,1164000,1164000,1162000,1164000,14,2000,4285, 15500 / 15500 ,100.00%,15500, ,
0010_AH11_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,215000,215000,215000,217000,215000,217000,7,2000,8571, 15500 / 31000 ,50.00%,  ,  ,
0010_AH11OA_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,25000,25000,25000,25000,25000,25000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 31000 ,0.00%,  ,  ,
0010_AH12_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,296000,296000,298000,298000,296000,298000,14,2000,4285, 15500 / 31000 ,50.00%,  ,  ,
0010_AHB01_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,56000,56000,56000,56000,56000,56000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 31000 ,0.00%,  ,  ,
0010_AHB02_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,105000,105000,105000,105000,105000,105000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 31000 ,0.00%,  ,  ,
0010_AHB03_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,105000,105000,105000,105000,105000,105000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 31000 ,0.00%,31000, ,
0010_CP1_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,171000,171000,171000,173000,171000,173000,7,2000,8571, 15500 / 31000 ,50.00%,  ,  ,
0010_CP2_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,196000,196000,198000,198000,196000,198000,14,2000,4285, 15500 / 31000 ,50.00%,31000, ,
0010_HP1_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,10000,10000,10000,10000,10000,10000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,  ,  ,
0010_HP2_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,22000,22000,22000,22000,22000,22000, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 0 ,0.00%,0, ,
0010_MAU01_MWH , (CONFERENCE CPD  ) ,  -N-       NONE ,262000,262000,264000,266000,262000,266000,14,4000,8571, 31000 / 31000 ,100.00%,31000, ,
0012_AH01_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,250,174,430,666,174,666,14,492,1054, 3813 / 30277 ,12.59%,  ,  ,
0012_AH11_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,250,174,430,666,174,666,14,492,1054, 3813 / 30277 ,12.59%,  ,  ,
0012_AH12_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,2792,2788,2806,2821,2788,2821,14,33,70, 255 / 30277 ,0.84%,  ,  ,
0012_AH21_KWH , (JENNIE MURPHREE ) ,  *F*       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 30277 ,0.00%,  ,  ,
0012_AH22_KWH , (JENNIE MURPHREE ) ,  *F*       NONE ,0,0,0,0,0,0, NO CHANGE IN POWER OUTPUT ,0,0, 0 / 30277 ,0.00%,  ,  ,
0012_AH31_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,649,606,802,30,30,802,-7,772,-3308, 5983 / 30277 ,19.76%,  ,  ,
0012_AH32_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,61,918,628,163,61,918,6,857,4285, 6641 / 30277 ,21.93%,  ,  ,
0012_AH41_KWH , (JENNIE MURPHREE ) ,  -N-       NONE ,305,244,508,672,244,672,14,428,917, 3317 / 30277 ,10.96%,  ,  ,
